x,y,z,label
-39.649570526016895,-5.683325051465886,50.944203875913956,PreCG.L
40.37456574765318,-8.213060832286203,52.0920245398773,PreCG.R
-19.4456856302957,34.80812726958325,42.20172920629432,SFGdor.L
20.899716413724335,31.120103462245623,43.81535728754402,SFGdor.R
-17.560360595766923,47.32466684086751,-13.306767703161746,ORBsup.L
17.494719429952923,48.09797684183738,-14.020104338974427,ORBsup.R
-34.43179587831207,32.731832033469345,35.45558080677651,MFG.L
36.594838262247976,33.061921038291956,34.03509684450388,MFG.R
-31.645669291338585,50.42969628796399,-9.618953880764906,ORBmid.L
32.18170534938562,52.58793595631127,-10.731165446195853,ORBmid.R
-49.43380486035546,12.733284971587466,19.022488211824452,IFGoperc.L
49.20395561124039,14.976463218185074,21.41175944156076,IFGoperc.R
-46.58316752884998,29.91399721448468,13.99039992041385,IFGtriang.L
49.32973383142658,30.16180247490078,14.173359794536537,IFGtriang.R
-36.98484179543782,30.707431935246518,-12.109786607799855,ORBinf.L
40.224412599112526,32.2303047937732,-11.910962391794577,ORBinf.R
-48.15845824411135,-8.475500692782461,13.950749464668093,ROL.L
51.64679027298985,-6.2522128016398,14.634678095593031,ROL.R
-6.324036569841454,4.848455039925938,61.375477375303774,SMA.L
7.615779719353981,0.17140587768069793,61.85379931162299,SMA.R
-9.06277630415562,15.053050397877996,-11.455349248452698,OLF.L
9.426946631671044,15.91207349081364,-11.256342957130357,OLF.R
-5.799429817206104,49.168665101459,30.893677679020627,SFGmed.L
8.09935803050827,50.84062665645797,30.219329760292126,SFGmed.R
-6.174033149171265,54.05714779005524,-7.396754143646405,ORBsupmed.L
7.161135371179043,51.67103347889375,-7.134061135371184,ORBsupmed.R
-6.081876456876458,37.072406759906755,-18.13621794871795,REC.L
7.353288364249579,35.64468802698144,-18.044013490725128,REC.R
-36.13098169717138,6.651780366056585,3.440931780366057,INS.L
38.01911098527745,6.245116081540203,2.077505662514156,INS.R
-5.036584285587736,35.39985826911152,13.952874479581894,ACG.L
7.455659835280599,37.005554491476715,15.839781651024708,ACG.R
-6.476405363589478,-14.919804022692105,41.569430118617845,DCG.L
7.020353170507974,-8.826396055498222,39.79102167182663,DCG.R
-5.847644683714677,-42.9179004037685,24.66971736204576,PCG.L
6.437452901281091,-41.81499623210249,21.866616428033154,PCG.R
-26.02677734636498,-20.74119694738252,-10.133485071629401,HIP.L
28.230738890349727,-19.7831974756771,-10.33118590586379,HIP.R
-22.17108097832974,-15.950323152959072,-20.70434672411608,PHG.L
24.38181214000886,-15.146765618077097,-20.470203810367742,PHG.R
-24.268897864974036,-0.6670513560300009,-17.14137334102712,AMYG.L
26.31908396946565,0.638676844783717,-17.502798982188295,AMYG.R
-8.14165335683208,-78.66696040094729,6.439224541499144,CAL.L
14.994222371514951,-73.14833725226738,9.404769902586494,CAL.R
-6.9339817027940285,-80.13360257149921,27.22352262424792,CUN.L
12.510995319261681,-79.35820895522389,28.228384703700428,CUN.R
-15.616938341601696,-67.55498464446019,-4.632884479092837,LING.L
15.289864498644988,-66.9258536585366,-3.8747425474254698,LING.R
-17.54072838476509,-84.2622555833565,28.16532295431378,SOG.L
23.2915059646605,-80.85388824109785,30.58695847161181,SOG.R
-33.388510523683095,-80.73161722267113,16.114779329716413,MOG.L
36.38765746124031,-79.7046390503876,19.415758236434115,MOG.R
-37.358678343949045,-78.29299363057325,-7.844347133757964,IOG.L
37.15865809055367,-81.99306343801236,-7.613192079707403,IOG.R
-32.159275623193146,-40.297769050346375,-20.228222331315116,FFG.L
32.96806249073022,-39.10174519207001,-20.178424877638797,FFG.R
-43.46237078543136,-22.631339967152925,48.917238270054426,PoCG.L
40.42835704032365,-25.493051024402973,52.5449562834399,PoCG.R
-24.453598886131118,-59.55723712089109,58.96010654397966,SPG.L
25.105844821693054,-59.17984504956135,62.061752307166444,SPG.R
-43.80372293927084,-45.81966370134211,46.74052553093023,IPL.L
45.46204589798384,-46.289696181362075,49.53507386416426,IPL.R
-56.788129605329566,-33.637831836075506,30.449480165539512,SMG.L
56.61071655041218,-31.50488268864933,34.47996195307546,SMG.R
-45.14130784924299,-60.815848813486525,35.58724363792548,ANG.L
44.50767363837534,-59.98465272324934,38.627667927760726,ANG.R
-8.240849143098956,-56.07091473305593,48.009027434939,PCUN.L
8.979603573208607,-56.049495840202425,43.76942836330177,PCUN.R
-8.63014963975614,-25.364585257712918,70.0702937372991,PCL.L
6.477065590915885,-31.587031226654716,68.09412819363513,PCL.R
-12.461858890913831,10.995964592554031,9.23913043478261,CAU.L
13.836166729631032,12.0742979473618,9.415187004155655,CAU.R
-24.913749685217823,3.855326114328875,2.4012843112566173,PUT.L
26.778730904817863,4.912925969447713,2.464747356051703,PUT.R
-18.749671772428883,-0.031509846827134425,0.21050328227570958,PAL.L
20.200639853747717,0.1755027422303499,0.2280621572212027,PAL.R
-11.848390804597699,-17.564482758620684,7.976091954022991,THA.L
11.997737825931665,-17.552446719847595,8.086796047148468,THA.R
-42.99168514412417,-18.875277161862527,9.978381374722844,HES.L
44.8569214876033,-17.146694214876035,10.405991735537185,HES.R
-54.1564975146119,-20.677555033593706,7.13481182061507,STG.L
57.145973552933725,-21.780584369308727,6.801369863013704,STG.R
-40.87856863511928,15.144114196323812,-20.182733672272192,TPOsup.L
47.24676177961328,14.745166134785052,-16.86324385207434,TPOsup.R
-56.52389906741544,-33.79981195842757,-2.200975783294794,MTG.L
56.47348100552361,-37.22799008003608,-1.4680701161086631,MTG.R
-37.31985294117647,14.586898395721931,-34.080882352941174,TPOmid.L
