ROI,count,rank
1225,7.0,1632.4285714285713
3320,7.0,1632.7142857142858
1913,7.0,1634.142857142857
2142,7.0,1635.142857142857
5862,7.0,1635.4285714285713
4922,7.0,1636.7142857142858
5647,7.0,1636.857142857143
1546,7.0,1636.857142857143
6621,7.0,1637.7142857142858
5253,7.0,1637.857142857143
4200,7.0,1640.5714285714287
204,7.0,1640.7142857142858
2126,7.0,1640.857142857143
4733,7.0,1641.2857142857142
1324,7.0,1641.5714285714287
6269,7.0,1642.142857142857
5388,7.0,1642.2857142857142
937,7.0,1642.4285714285713
5466,7.0,1642.5714285714287
5175,7.0,1644.4285714285713
90,7.0,1644.7142857142858
3770,6.0,1870.3333333333333
2827,6.0,1876.8333333333333
2198,6.0,1880.8333333333333
2378,6.0,1882.1666666666667
753,6.0,1882.3333333333333
3407,6.0,1883.5
1185,6.0,1884.3333333333333
3716,6.0,1884.8333333333333
2217,6.0,1885.6666666666667
34,6.0,1886.6666666666667
4825,6.0,1886.6666666666667
2833,6.0,1888.8333333333333
954,6.0,1889.8333333333333
2748,6.0,1889.8333333333333
6642,6.0,1890.0
1738,6.0,1890.6666666666667
757,6.0,1890.8333333333333
6401,6.0,1891.8333333333333
1351,6.0,1891.8333333333333
6172,6.0,1893.1666666666667
113,6.0,1894.3333333333333
645,6.0,1894.6666666666667
1562,6.0,1895.3333333333333
4131,6.0,1895.5
6343,6.0,1895.6666666666667
2270,6.0,1897.0
2574,6.0,1899.1666666666667
2051,6.0,1899.1666666666667
74,6.0,1900.8333333333333
5297,6.0,1901.1666666666667
3162,6.0,1901.3333333333333
3153,6.0,1901.3333333333333
1223,6.0,1902.0
1498,6.0,1902.0
5910,6.0,1902.3333333333333
5501,6.0,1902.3333333333333
5359,6.0,1904.1666666666667
4153,6.0,1904.5
5462,6.0,1905.0
6602,6.0,1906.0
1965,6.0,1906.6666666666667
6203,6.0,1907.5
5534,6.0,1908.3333333333333
6514,6.0,1908.6666666666667
2592,6.0,1909.3333333333333
1835,6.0,1911.1666666666667
5546,6.0,1911.1666666666667
4301,6.0,1911.3333333333333
5860,6.0,1911.8333333333333
2904,6.0,1913.3333333333333
5364,6.0,1915.1666666666667
4692,6.0,1916.5
2291,6.0,1916.8333333333333
2906,6.0,1919.1666666666667
5855,6.0,1921.3333333333333
5062,6.0,1921.5
4415,6.0,1923.3333333333333
343,5.0,2254.8
3026,5.0,2259.2
1519,5.0,2262.0
2726,5.0,2275.8
426,5.0,2276.6
2384,5.0,2277.2
5001,5.0,2278.0
4149,5.0,2281.0
75,5.0,2281.4
2466,5.0,2281.4
3812,5.0,2282.0
4772,5.0,2282.2
4398,5.0,2283.0
6097,5.0,2284.8
4285,5.0,2284.8
5863,5.0,2287.0
5469,5.0,2287.0
2476,5.0,2287.2
4255,5.0,2288.6
1109,5.0,2289.0
5352,5.0,2289.4
449,5.0,2289.8
5212,5.0,2290.4
5055,5.0,2290.6
6646,5.0,2291.2
3801,5.0,2291.4
3310,5.0,2292.4
76,5.0,2293.0
6410,5.0,2293.4
148,5.0,2293.6
1399,5.0,2293.6
2438,5.0,2293.8
6223,5.0,2295.2
5579,5.0,2295.2
4561,5.0,2295.4
5503,5.0,2295.8
978,5.0,2296.0
3871,5.0,2296.6
2139,5.0,2296.6
4980,5.0,2296.6
5187,5.0,2297.0
4817,5.0,2297.0
4514,5.0,2297.8
6176,5.0,2298.2
1199,5.0,2298.4
2552,5.0,2299.4
689,5.0,2299.6
2711,5.0,2300.0
582,5.0,2301.0
3889,5.0,2302.0
3368,5.0,2302.0
1227,5.0,2302.0
2369,5.0,2302.4
3248,5.0,2302.6
3181,5.0,2302.6
6272,5.0,2303.6
1631,5.0,2305.6
2550,5.0,2305.6
593,5.0,2306.0
6492,5.0,2306.2
4047,5.0,2307.4
5535,5.0,2307.6
3386,5.0,2308.8
3566,5.0,2309.0
3152,5.0,2309.4
2568,5.0,2309.6
4631,5.0,2311.0
6040,5.0,2311.4
1055,4.0,2848.5
4890,4.0,2849.25
4898,4.0,2852.0
985,4.0,2854.0
5550,4.0,2857.0
5360,4.0,2857.0
1705,4.0,2857.25
834,4.0,2857.75
238,4.0,2861.25
2213,4.0,2862.75
6491,4.0,2863.5
3737,4.0,2863.5
4876,4.0,2865.0
5627,4.0,2866.5
6344,4.0,2867.25
5573,4.0,2868.0
5012,4.0,2869.25
6292,4.0,2870.25
2847,4.0,2870.5
2776,4.0,2870.5
1187,4.0,2871.75
2429,4.0,2872.0
4448,4.0,2872.75
5354,4.0,2873.0
4363,4.0,2873.5
2763,4.0,2874.0
1872,4.0,2874.75
4752,4.0,2875.25
6466,4.0,2875.5
6334,4.0,2876.0
1073,4.0,2876.25
1750,4.0,2876.5
92,4.0,2877.0
6363,4.0,2877.25
185,4.0,2878.75
4558,4.0,2880.0
4201,4.0,2881.0
3269,4.0,2881.0
4427,4.0,2881.25
2130,4.0,2882.5
3975,4.0,2882.5
5771,4.0,2882.75
5135,4.0,2883.0
5093,4.0,2883.0
2992,4.0,2883.75
1202,4.0,2884.0
3086,4.0,2884.25
1395,4.0,2884.25
3782,4.0,2884.5
1593,4.0,2884.75
4158,4.0,2885.25
5824,4.0,2885.5
6054,4.0,2885.5
2746,4.0,2886.5
1495,4.0,2886.75
660,4.0,2887.0
6016,4.0,2887.5
1517,4.0,2888.0
519,4.0,2889.5
1659,4.0,2891.25
5882,4.0,2891.75
2613,4.0,2891.75
2085,4.0,2891.75
3367,4.0,2892.0
755,4.0,2895.25
590,4.0,2895.5
2038,4.0,2896.0
3099,3.0,3815.0
5975,3.0,3817.3333333333335
4314,3.0,3819.3333333333335
3061,3.0,3820.0
3429,3.0,3825.0
5782,3.0,3825.6666666666665
5183,3.0,3827.0
4550,3.0,3827.3333333333335
1710,3.0,3828.0
447,3.0,3829.3333333333335
1465,3.0,3830.6666666666665
3678,3.0,3831.3333333333335
3080,3.0,3832.0
5014,3.0,3833.3333333333335
2199,3.0,3834.3333333333335
1636,3.0,3834.3333333333335
4937,3.0,3835.0
6568,3.0,3835.6666666666665
6443,3.0,3836.0
231,3.0,3836.6666666666665
3191,3.0,3837.0
2143,3.0,3838.0
4496,3.0,3838.6666666666665
3402,3.0,3839.3333333333335
4842,3.0,3839.3333333333335
5173,3.0,3842.3333333333335
5278,3.0,3842.6666666666665
4637,3.0,3842.6666666666665
3258,3.0,3843.0
2795,3.0,3843.0
1474,3.0,3843.3333333333335
4321,3.0,3843.3333333333335
5245,3.0,3843.3333333333335
3548,3.0,3843.6666666666665
2423,3.0,3843.6666666666665
6592,3.0,3844.0
2589,3.0,3844.0
4129,3.0,3844.3333333333335
351,3.0,3845.0
6572,3.0,3845.3333333333335
5642,3.0,3846.0
2734,3.0,3846.3333333333335
4430,3.0,3846.6666666666665
1918,3.0,3847.6666666666665
1370,3.0,3848.0
2243,3.0,3848.3333333333335
885,3.0,3848.3333333333335
1378,3.0,3848.6666666666665
5049,3.0,3849.0
1966,3.0,3849.3333333333335
6301,3.0,3849.3333333333335
227,3.0,3849.6666666666665
2926,3.0,3850.0
3694,3.0,3851.6666666666665
5011,3.0,3851.6666666666665
2221,3.0,3852.3333333333335
1325,3.0,3852.6666666666665
2894,3.0,3852.6666666666665
3122,3.0,3853.0
6319,3.0,3853.0
4320,3.0,3853.0
4926,3.0,3853.3333333333335
2835,3.0,3853.6666666666665
4414,3.0,3853.6666666666665
4184,3.0,3854.0
7,3.0,3855.6666666666665
650,3.0,3855.6666666666665
1922,3.0,3856.6666666666665
3393,3.0,3857.0
2481,3.0,3857.0
5338,3.0,3859.3333333333335
1302,3.0,3859.3333333333335
4968,3.0,3859.6666666666665
1188,3.0,3860.6666666666665
4705,3.0,3861.0
2113,3.0,3863.6666666666665
5248,2.0,5759.5
1606,2.0,5759.5
385,2.0,5760.0
2658,2.0,5760.5
538,2.0,5763.0
4578,2.0,5763.0
2662,2.0,5763.5
4694,2.0,5764.0
4172,2.0,5765.5
6643,2.0,5767.0
1983,2.0,5768.0
4385,2.0,5768.5
2645,2.0,5769.0
5382,2.0,5769.0
446,2.0,5769.0
3379,2.0,5769.5
3023,2.0,5770.5
2875,2.0,5771.0
893,2.0,5772.5
558,2.0,5774.0
80,2.0,5774.0
3039,2.0,5774.0
1031,2.0,5774.5
4737,2.0,5774.5
3226,2.0,5775.0
1193,2.0,5775.5
4148,2.0,5776.5
4613,2.0,5776.5
5072,2.0,5776.5
2382,2.0,5777.0
2622,2.0,5777.5
1358,2.0,5778.0
1182,2.0,5778.5
3051,2.0,5779.0
3352,2.0,5779.0
4975,2.0,5779.0
4085,2.0,5780.0
3111,2.0,5780.0
11,2.0,5780.0
6498,2.0,5780.5
2693,2.0,5780.5
924,2.0,5780.5
3607,2.0,5781.0
3030,2.0,5782.5
1592,2.0,5783.0
1290,2.0,5783.0
5355,2.0,5783.5
5046,2.0,5783.5
1947,2.0,5783.5
3088,2.0,5784.0
4480,2.0,5784.0
3420,2.0,5784.0
2814,2.0,5784.0
2733,2.0,5784.0
5265,2.0,5784.0
3423,2.0,5784.0
1322,2.0,5784.0
1919,2.0,5784.5
1154,2.0,5784.5
3574,2.0,5784.5
1943,2.0,5785.0
1120,2.0,5785.0
5162,2.0,5785.0
6368,2.0,5785.5
1413,2.0,5786.0
6473,2.0,5786.0
369,2.0,5786.5
6575,2.0,5787.0
434,2.0,5787.0
1331,2.0,5787.5
4880,2.0,5787.5
3655,2.0,5787.5
5267,2.0,5788.0
2197,2.0,5788.0
286,2.0,5788.5
1798,2.0,5788.5
2561,2.0,5788.5
938,2.0,5789.0
68,2.0,5789.5
2619,2.0,5790.0
2360,2.0,5790.0
1633,2.0,5790.0
1737,2.0,5790.5
4283,2.0,5790.5
4605,2.0,5790.5
2231,2.0,5791.5
5486,2.0,5792.0
5107,2.0,5792.5
6214,2.0,5793.0
4188,2.0,5793.0
1029,2.0,5793.5
699,2.0,5794.5
5569,2.0,5794.5
5004,2.0,5794.5
4671,2.0,5795.0
86,2.0,5795.5
5356,2.0,5795.5
2192,2.0,5795.5
604,2.0,5795.5
2769,2.0,5796.0
4777,2.0,5797.0
884,2.0,5797.0
5215,2.0,5797.0
1352,2.0,5797.5
4974,2.0,5797.5
6331,2.0,5797.5
1162,2.0,5798.0
1197,2.0,5798.0
2492,2.0,5798.0
2918,2.0,5798.5
965,2.0,5799.5
2523,2.0,5800.0
1688,1.0,11559.0
4421,1.0,11563.0
1035,1.0,11567.0
5479,1.0,11569.0
5913,1.0,11570.0
2506,1.0,11573.0
3072,1.0,11574.0
2470,1.0,11576.0
429,1.0,11577.0
6290,1.0,11577.0
3247,1.0,11577.0
3141,1.0,11578.0
573,1.0,11578.0
6058,1.0,11578.0
1657,1.0,11579.0
6402,1.0,11579.0
206,1.0,11579.0
4428,1.0,11580.0
879,1.0,11580.0
637,1.0,11580.0
4155,1.0,11581.0
3704,1.0,11582.0
5269,1.0,11582.0
1609,1.0,11583.0
5064,1.0,11583.0
5349,1.0,11583.0
3772,1.0,11583.0
5237,1.0,11584.0
2184,1.0,11585.0
4677,1.0,11585.0
2501,1.0,11586.0
2479,1.0,11586.0
4185,1.0,11586.0
563,1.0,11587.0
3050,1.0,11587.0
4130,1.0,11587.0
6452,1.0,11588.0
3311,1.0,11588.0
2761,1.0,11588.0
2530,1.0,11588.0
3456,1.0,11588.0
3244,1.0,11589.0
3827,1.0,11589.0
948,1.0,11589.0
6333,1.0,11590.0
1858,1.0,11590.0
6582,1.0,11590.0
2644,1.0,11590.0
4916,1.0,11591.0
6107,1.0,11591.0
2403,1.0,11591.0
6004,1.0,11591.0
1467,1.0,11592.0
3392,1.0,11592.0
1074,1.0,11592.0
5128,1.0,11592.0
2461,1.0,11593.0
1336,1.0,11593.0
4539,1.0,11593.0
3791,1.0,11593.0
5491,1.0,11593.0
5242,1.0,11593.0
2155,1.0,11594.0
297,1.0,11594.0
2150,1.0,11594.0
2346,1.0,11594.0
5536,1.0,11595.0
2596,1.0,11595.0
1802,1.0,11595.0
6153,1.0,11595.0
3765,1.0,11596.0
584,1.0,11596.0
4779,1.0,11596.0
1359,1.0,11596.0
857,1.0,11596.0
3857,1.0,11596.0
4225,1.0,11597.0
1848,1.0,11597.0
6161,1.0,11597.0
1181,1.0,11597.0
5871,1.0,11597.0
6613,1.0,11597.0
134,1.0,11598.0
1628,1.0,11598.0
3413,1.0,11598.0
5972,1.0,11598.0
2716,1.0,11598.0
6267,1.0,11598.0
6229,1.0,11598.0
2137,1.0,11598.0
5013,1.0,11599.0
3396,1.0,11599.0
4529,1.0,11599.0
864,1.0,11599.0
3129,1.0,11599.0
4790,1.0,11599.0
1387,1.0,11599.0
1770,1.0,11600.0
5653,1.0,11600.0
1912,1.0,11600.0
5043,1.0,11600.0
5480,1.0,11600.0
4914,1.0,11600.0
4228,1.0,11600.0
