,训练集准确率,测试集准确率,训练集损失值,测试集损失值,灵敏度,特异性
0,0.5181660138802997,0.5134217799889441,374.1064052343369,93.73684351444244,0.21661000485672655,0.7631087662337663
1,0.5255871641585927,0.5178662244333886,373.49644722938535,93.64304492473602,0.18360655737704917,0.7978237978237978
2,0.5337504294647152,0.5400884466556108,373.14939579963686,93.6044515132904,0.06885245901639345,0.9324324324324325
3,0.5370899470899471,0.5504588170259812,372.7531619548798,93.53558957576752,0.02622950819672131,0.9864864864864865
4,0.5497059025630455,0.5460143725815367,372.4997925758362,93.54899625778198,0.0,1.0
5,0.5489637875352162,0.5460143725815367,372.26289348602296,93.5033551454544,0.0,1.0
6,0.5467374424517282,0.5460143725815367,371.9551334857941,93.55207676887512,0.0,1.0
7,0.5497059025630454,0.5460143725815367,371.7243444681168,93.51008803844452,0.0,1.0
8,0.5467374424517282,0.5460143725815367,371.49426341056824,93.42821712493897,0.0,1.0
9,0.5463663849378135,0.5460143725815367,371.2352109909058,93.39680986404419,0.0,1.0
10,0.5463663849378135,0.5460143725815367,370.99467101097105,93.35878791809083,0.0,1.0
11,0.5459953274238989,0.5460143725815367,370.6311984300613,93.36885030269623,0.0,1.0
12,0.5467374424517282,0.5460143725815367,370.3529027700424,93.343545460701,0.0,1.0
13,0.5459953274238989,0.5460143725815367,370.30724115371703,93.28080468177795,0.0,1.0
14,0.5463663849378135,0.5460143725815367,369.8027232170105,93.2037181854248,0.0,1.0
15,0.5463663849378135,0.5460143725815367,369.4972373008728,93.1532166481018,0.0,1.0
16,0.5478506149934722,0.5460143725815367,369.15545320510864,92.99391233921051,0.0,1.0
17,0.5463663849378135,0.5489773355444998,368.5537725687027,93.03753373622894,0.007017543859649122,1.0
18,0.5493348450491308,0.5504588170259812,368.16656639575956,92.88193690776825,0.010526315789473684,1.0
19,0.5519322476465334,0.5534217799889442,367.79563229084016,92.77680945396423,0.021052631578947368,0.9974358974358974
20,0.5586112828969971,0.5534217799889442,367.1130473613739,92.59657053947448,0.02456140350877193,0.9948717948717949
21,0.5615797430083145,0.5563847429519072,366.5569904565811,92.50163991451264,0.03859649122807017,0.9891826923076923
22,0.5690008932866075,0.565273631840796,365.7511703491211,92.39038853645324,0.0938148881786549,0.9632644663894663
23,0.5786483886483886,0.565273631840796,365.0421741485596,92.26223585605621,0.11066687730640386,0.9504106535356535
24,0.5886669415240844,0.5726810392482035,364.0301556110382,92.1486512184143,0.10410814534644719,0.964963668088668
25,0.5975723218580361,0.5860143725815368,363.3778742790222,92.0063248872757,0.15207567442080708,0.9525589556839555
26,0.6001697244554387,0.5889773355444998,362.1692536115646,91.64745647907257,0.1762263304420655,0.9353197478197478
27,0.6116725073867931,0.5949032614704256,361.21648466587067,91.41158163547516,0.2120569598903109,0.9169552294552294
28,0.6216910602624889,0.5860143725815368,359.7521746397018,91.15916970968246,0.17650907378159647,0.9269344394344394
29,0.6354201882773312,0.5934217799889442,358.5204268336296,91.01911821365357,0.21579581522536984,0.9120376245376246
30,0.6398728784443071,0.5963847429519072,356.95122961997987,90.77199569940566,0.2224001671708471,0.9116873273123274
31,0.6561994090565519,0.6067551133222775,355.36396435499194,90.39426165819168,0.2638678400473352,0.8949435136935137
32,0.6547151790008934,0.611199557766722,354.2300818800926,90.2834752202034,0.2858321449927736,0.8876069032319032
33,0.6673311344739916,0.6126810392482034,352.2086425185204,89.81755781173706,0.26691482486102036,0.9022135240885241
34,0.677720744863602,0.6052736318407961,350.3890307188034,89.62757407426834,0.2265897328772452,0.9207166425916427
35,0.6747522847522848,0.6215699281370923,348.1478338599205,89.76666204929352,0.35298945697830025,0.8532302719802718
36,0.6847708376279804,0.6289773355444996,346.12755444049833,88.77865743637085,0.3340491592359588,0.8726581132831133
37,0.6940472754758469,0.6349032614704256,343.70057767629623,88.73951349258422,0.4448707757339111,0.7870205526455527
38,0.6970157355871642,0.6289773355444996,341.3765996932983,88.55089724063873,0.33421630214677933,0.8794310981810982
39,0.7074053459767746,0.6423548922056386,338.9033503890038,88.43867342472076,0.3710186436314694,0.8738150925650926
40,0.711484917199203,0.6423770038695412,336.00288392305373,87.83058608770371,0.35505459077093354,0.881332518832519
41,0.7266934652648939,0.6483471531232725,332.9713059782982,87.87989807128906,0.3508354109243504,0.8964418903168904
42,0.7277970177970179,0.6527473742399115,330.6407497525215,87.19149324893951,0.43626053958352184,0.8282724876474876
43,0.7381900639043495,0.6572470978441127,327.06971856355665,86.6206712961197,0.43739403951997974,0.8364296255546255
44,0.7504267161410019,0.6424322830292979,323.76965633630755,87.83896458148956,0.4416711523967395,0.8187576455076455
45,0.7585858585858587,0.6572470978441127,321.3594187736511,86.51606720685959,0.4177243894950905,0.8524353135603135
46,0.7556098398955541,0.6513322277501382,317.64631601572034,86.62543399333954,0.37257667241333026,0.8852688133938134
47,0.7719349962207105,0.6557656163626313,314.1739467024803,86.29924861192703,0.47758627519844915,0.8081652536652537
48,0.780465196179482,0.6572692095080155,309.8792774438858,85.61620928049088,0.4553410437202765,0.8157621005121005
49,0.791216244073387,0.6572470978441128,307.26842243671416,85.79892672300339,0.42638048758780867,0.8449748078498078
50,0.8016037930323645,0.669176340519624,302.99024882316587,86.76559488773346,0.5024779776867384,0.8189889648639648
51,0.8093939393939393,0.6676395798783858,300.30357632637026,84.9705013871193,0.4718097301756151,0.8245359359109358
52,0.813839070981928,0.6676395798783858,296.7638095498085,84.74248723983764,0.49480011901907484,0.8022895527895528
