Fold1-Epoch43: 100%|██████████████████████████| 132/132 [00:05<00:00, 24.49it/s]
+-------+--------------------+--------------------+--------------------+--------------------+--------------------+
| epoch |     train_loss     |     train_acc      |     test_loss      |      test_acc      |      time(s)       |
+-------+--------------------+--------------------+--------------------+--------------------+--------------------+
|   1   | 91.37123107910156  | 0.5378787878787878 | 23.31397247314453  | 0.5882352941176471 | 13.394804954528809 |
|   2   | 90.81763458251953  | 0.5681818181818182 | 23.186410903930664 | 0.5882352941176471 | 19.70589017868042  |
|   3   |   90.6142578125    | 0.5681818181818182 | 23.128206253051758 | 0.5882352941176471 | 25.974037885665894 |
|   4   | 90.53316497802734  | 0.5681818181818182 | 23.096506118774414 | 0.5882352941176471 |  32.5640823841095  |
|   5   | 90.49388122558594  | 0.5681818181818182 | 23.089406967163086 | 0.5882352941176471 | 38.60056972503662  |
|   6   | 90.41142272949219  | 0.5681818181818182 | 23.098440170288086 | 0.5882352941176471 | 44.60092782974243  |
|   7   | 90.44393157958984  | 0.5681818181818182 | 23.06892967224121  | 0.5882352941176471 | 51.403491258621216 |
|   8   |  90.4330825805664  | 0.5681818181818182 | 23.068832397460938 | 0.5882352941176471 | 57.50772762298584  |
|   9   | 90.41389465332031  | 0.5681818181818182 | 23.073177337646484 | 0.5882352941176471 | 64.31772303581238  |
|   10  | 90.30839538574219  | 0.5681818181818182 | 23.048168182373047 | 0.5882352941176471 | 70.39741802215576  |
|   11  | 90.35836791992188  | 0.5681818181818182 | 23.044645309448242 | 0.5882352941176471 |  76.5006332397461  |
|   12  | 90.25260162353516  | 0.5681818181818182 | 23.061674118041992 | 0.5882352941176471 | 82.51019191741943  |
|   13  | 90.10404968261719  | 0.5681818181818182 | 23.03656578063965  | 0.5882352941176471 | 88.96432876586914  |
|   14  |  89.9538803100586  | 0.5681818181818182 | 22.980466842651367 | 0.5882352941176471 | 95.07206082344055  |
|   15  | 89.22833251953125  | 0.5681818181818182 | 23.111177444458008 | 0.5882352941176471 | 101.09997892379761 |
|   16  | 87.28009033203125  | 0.5681818181818182 | 22.646242141723633 | 0.5882352941176471 | 107.20073962211609 |
|   17  | 81.84012603759766  | 0.6742424242424242 |   24.37646484375   | 0.5882352941176471 | 113.15982723236084 |
|   18  |  76.9925308227539  | 0.7121212121212122 | 21.387481689453125 | 0.6764705882352942 | 119.31292986869812 |
|   19  | 79.30367279052734  | 0.6893939393939394 | 22.613344192504883 | 0.5882352941176471 | 125.28495693206787 |
|   20  |  69.0819091796875  | 0.7803030303030303 | 30.650854110717773 | 0.4117647058823529 | 131.1848738193512  |
|   21  | 116.34153747558594 | 0.4318181818181818 | 30.65083122253418  | 0.4117647058823529 | 137.11203122138977 |
|   22  | 116.33705139160156 | 0.4318181818181818 | 30.650779724121094 | 0.4117647058823529 | 143.26060152053833 |
|   23  | 116.3257827758789  | 0.4318181818181818 | 30.650569915771484 | 0.4117647058823529 | 149.17274713516235 |
|   24  | 116.26252746582031 | 0.4318181818181818 | 30.645729064941406 | 0.4117647058823529 | 155.21138644218445 |
|   25  | 92.66704559326172  | 0.5984848484848485 | 23.577260971069336 | 0.6176470588235294 | 161.2997784614563  |
|   26  | 68.74100494384766  | 0.7954545454545454 | 22.311763763427734 | 0.6470588235294118 | 167.48582530021667 |
|   27  | 62.55122756958008  | 0.8257575757575758 | 22.472606658935547 | 0.5882352941176471 | 173.39792037010193 |
|   28  | 59.305152893066406 | 0.8560606060606061 | 21.841901779174805 | 0.6764705882352942 | 179.4984962940216  |
|   29  | 59.93856430053711  | 0.8560606060606061 | 20.839365005493164 | 0.7058823529411765 | 185.48482751846313 |
|   30  | 72.96697998046875  | 0.7575757575757576 | 20.917369842529297 | 0.7058823529411765 | 191.38530206680298 |
|   31  | 64.66184997558594  | 0.8257575757575758 | 23.613340377807617 | 0.5882352941176471 | 197.29779386520386 |
|   32  | 54.212432861328125 | 0.9015151515151515 | 21.603408813476562 | 0.6764705882352942 | 203.49878358840942 |
|   33  | 50.45983123779297  | 0.9318181818181818 | 21.659948348999023 | 0.6764705882352942 | 209.4724316596985  |
|   34  | 51.772743225097656 | 0.9166666666666666 | 21.82341766357422  | 0.6764705882352942 | 215.37220644950867 |
|   35  | 52.34664535522461  | 0.9090909090909091 | 23.02152442932129  | 0.6176470588235294 | 221.27214121818542 |
|   36  | 45.718441009521484 | 0.9696969696969697 | 22.435474395751953 | 0.6470588235294118 | 227.1981155872345  |
|   37  | 45.392311096191406 | 0.9696969696969697 | 22.48397445678711  | 0.6470588235294118 | 233.18475222587585 |
|   38  | 45.36929702758789  | 0.9696969696969697 | 22.208229064941406 | 0.6470588235294118 | 239.29984259605408 |
|   39  | 45.346832275390625 | 0.9696969696969697 | 22.292356491088867 | 0.6470588235294118 | 245.28498435020447 |
|   40  |  53.9803581237793  | 0.9015151515151515 | 23.616884231567383 | 0.6176470588235294 | 251.1977915763855  |
|   41  | 66.62579345703125  | 0.7954545454545454 | 25.803991317749023 |        0.5         | 257.30068159103394 |
|   42  | 44.43742370605469  | 0.9772727272727273 | 22.007699966430664 | 0.6764705882352942 | 263.40055799484253 |
|   43  | 42.37739562988281  | 0.9924242424242424 | 22.298328399658203 | 0.6470588235294118 | 269.6011817455292  |
+-------+--------------------+--------------------+--------------------+--------------------+--------------------+
