,训练集损失值,训练集准确率,测试集损失值,测试集准确率,灵敏度,特异性
0,372.8271551132202,0.5380333951762524,93.08457255363464,0.5777777777777777,0.0,1.0
1,372.85963904857635,0.5380333951762524,92.8690710067749,0.5777777777777777,0.0,1.0
2,372.57294857501984,0.5380333951762524,92.96484744548798,0.5777777777777777,0.0,1.0
3,372.3214749097824,0.5380333951762524,92.74917101860046,0.5777777777777777,0.0,1.0
4,372.1293532848358,0.5380333951762524,92.68837189674377,0.5777777777777777,0.0,1.0
5,371.9949287176132,0.5380333951762524,92.62557137012482,0.5777777777777777,0.0,1.0
6,371.74289202690125,0.5380333951762524,92.76453077793121,0.5777777777777777,0.0,1.0
7,371.2332088947296,0.5380333951762524,92.70256173610687,0.5777777777777777,0.0,1.0
8,371.3518863916397,0.5380333951762524,92.51569414138794,0.5777777777777777,0.0,1.0
9,370.8732976913452,0.5380333951762524,92.46470773220062,0.5777777777777777,0.0,1.0
10,370.7578147649765,0.5380333951762524,92.31167483329773,0.5777777777777777,0.0,1.0
11,369.928764462471,0.5380333951762524,92.23977839946747,0.5777777777777777,0.0,1.0
12,369.52752101421356,0.5380333951762524,92.26276659965515,0.5777777777777777,0.0,1.0
13,369.704975605011,0.5380333951762524,92.08121168613434,0.5777777777777777,0.0,1.0
14,368.6171636581421,0.5380333951762524,91.86407911777496,0.5777777777777777,0.0,1.0
15,368.1089640855789,0.5380333951762524,91.85482573509216,0.5777777777777777,0.0,1.0
16,367.7417917251587,0.5454545454545454,91.41928172111511,0.5777777777777777,0.0,1.0
17,366.26988780498505,0.5380333951762524,91.44116353988647,0.5925925925925926,0.03508771929824561,1.0
18,365.8234621286392,0.5435992578849722,91.17514538764954,0.6,0.05263157894736842,1.0
19,365.30317652225494,0.5510204081632653,90.96344411373138,0.6148148148148148,0.10526315789473684,0.9871794871794872
20,363.8511869907379,0.5677179962894249,90.4705239534378,0.6148148148148148,0.12280701754385964,0.9743589743589743
21,362.9755719900131,0.5918367346938775,90.29797923564911,0.6370370370370371,0.19298245614035087,0.9615384615384616
22,361.4211390018463,0.6029684601113172,90.51739943027496,0.6814814814814815,0.43859649122807015,0.8589743589743589
23,360.3233938217163,0.6066790352504638,90.30522632598877,0.6814814814814815,0.5087719298245614,0.8076923076923077
24,358.58518075942993,0.6567717996289425,89.1785318851471,0.6444444444444445,0.21052631578947367,0.9615384615384616
25,357.1043632030487,0.6493506493506493,89.38516449928284,0.6962962962962963,0.47368421052631576,0.8589743589743589
26,355.65735507011414,0.673469387755102,88.92432463169098,0.6962962962962963,0.49122807017543857,0.8461538461538461
27,353.6129949092865,0.6753246753246753,88.41339719295502,0.7037037037037037,0.5789473684210527,0.7948717948717948
28,351.3490159511566,0.7050092764378478,87.48188990354538,0.6592592592592592,0.3684210526315789,0.8717948717948718
29,349.2915548682213,0.7142857142857143,87.81674468517303,0.7037037037037037,0.6140350877192983,0.7692307692307693
30,346.04630041122437,0.7105751391465677,87.08498257398605,0.7111111111111111,0.6140350877192983,0.782051282051282
31,343.69686675071716,0.7365491651205937,86.34160655736923,0.7185185185185186,0.631578947368421,0.782051282051282
32,341.68402338027954,0.7421150278293135,86.02214246988297,0.7333333333333333,0.6842105263157895,0.7692307692307693
33,339.4200247526169,0.725417439703154,85.0860123038292,0.7481481481481481,0.6491228070175439,0.8205128205128205
34,335.6559680700302,0.7662337662337663,84.23843157291412,0.7333333333333333,0.5614035087719298,0.8589743589743589
35,331.9677936434746,0.75139146567718,85.87938624620438,0.7185185185185186,0.7719298245614035,0.6794871794871795
36,328.9964747428894,0.7569573283858998,83.30280375480652,0.7481481481481481,0.5964912280701754,0.8589743589743589
37,325.52449852228165,0.7717996289424861,84.25238794088364,0.7333333333333333,0.7543859649122807,0.717948717948718
38,320.2763846516609,0.7884972170686456,82.23956906795502,0.7407407407407407,0.6666666666666666,0.7948717948717948
39,315.99656641483307,0.7884972170686456,81.97069299221039,0.7407407407407407,0.6666666666666666,0.7948717948717948
40,312.4379341006279,0.7940630797773655,80.7961248755455,0.7407407407407407,0.543859649122807,0.8846153846153846
41,307.08348870277405,0.8033395176252319,81.29914391040802,0.6962962962962963,0.3508771929824561,0.9487179487179487
42,304.5089933872223,0.7977736549165121,81.79204171895981,0.7333333333333333,0.6842105263157895,0.7692307692307693
43,298.7301160097122,0.8200371057513914,79.50728076696396,0.7333333333333333,0.5789473684210527,0.8461538461538461
44,292.88206815719604,0.8423005565862709,82.43202263116837,0.6814814814814815,0.7543859649122807,0.6282051282051282
45,291.5992490053177,0.8256029684601113,79.59967267513275,0.7555555555555555,0.6491228070175439,0.8333333333333334
46,284.77998799085617,0.8367346938775511,78.64780235290527,0.7481481481481481,0.543859649122807,0.8974358974358975
47,279.20797592401505,0.8589981447124304,80.7558262348175,0.725925925925926,0.7192982456140351,0.7307692307692307
48,273.07030910253525,0.8664192949907236,78.73237133026123,0.7185185185185186,0.47368421052631576,0.8974358974358975
49,270.3271796107292,0.8682745825602969,78.92106699943542,0.7185185185185186,0.45614035087719296,0.9102564102564102
50,264.21920561790466,0.8812615955473099,79.7185343503952,0.725925925925926,0.7017543859649122,0.7435897435897436
51,260.0228906273842,0.8831168831168831,77.881971180439,0.7333333333333333,0.5614035087719298,0.8589743589743589
52,255.251415848732,0.8812615955473099,78.92222338914871,0.7185185185185186,0.45614035087719296,0.9102564102564102
53,250.22834742069244,0.8923933209647495,79.17175227403641,0.6962962962962963,0.6140350877192983,0.7564102564102564
